contentGroupKind,contentGroupKey,isRepresentativeInGroup,relativePath,bytes,bytesSha256,textractBlocksNormSha256,textractOutJson,textNormSha256,numPages,normalizedTextChars,parseError,textractReadError
textract_blocks_no_ids,"textract_norm:136845d9a0f99bfef25e384e1084b9b0536bbfac19e8d37e0fd95419b8cbcb54",1,"doop/RV_ Publicación de calendarios_ UTE-UIC-UT periodo abril - agosto 2026 2/Calendario académico Unidad Integración Curricular_GR_P_Estudiantes_202630.pdf",196793,a8b646b71549adb943bfef79820c2dd10eede2276dde4471923e34fd11240097,136845d9a0f99bfef25e384e1084b9b0536bbfac19e8d37e0fd95419b8cbcb54,"a8b646b7_doop_RV_Publicacio_n_de_calendarios_UTE-UIC-UT_periodo_abril_-_agosto_2026_2_Calendario_acad_mico_Unidad_Integraci_n_Cur.json",768b79e67613aeb7d5ccef670b82370f643b2b6b1f4d9e6df652e6c8f058fa8f,2,1686,,
textract_blocks_no_ids,"textract_norm:13bfa93c7b595d6074a798c026eda348de37eb7671be83c6b8beabf2c2c9206a",1,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Matrículas Unidad Titulación Especial (UTE)_GR_P__ABR-AGO_2026.pdf",117172,53860cfdf04d715c462cd739a59c20e0188ff5b658f97aeaabfcc72d343c902a,13bfa93c7b595d6074a798c026eda348de37eb7671be83c6b8beabf2c2c9206a,"53860cfd_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Matri_culas_Unidad_Titulacio_n_Especial_UTE_GR_P_ABR-AG.json",,1,0,,
textract_blocks_no_ids,"textract_norm:150ce1f040bc6408347d473e7d80bfa085bd9c45b324e8a8bc4f6752496cc9e1",1,"doop/OneDrive_3_12-5-2026/Cronogramas técnico tecnológico/Modalidad en línea/Cronograma Unidad Integración Curricular_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf",3198758,eee1c735ea4b9a4725d3a7b45546c4316b424bef1a1c62c2478ab9c4c3212818,150ce1f040bc6408347d473e7d80bfa085bd9c45b324e8a8bc4f6752496cc9e1,"eee1c735_doop_OneDrive_3_12-5-2026_Cronogramas_te_cnico_tecnolo_gico_Modalidad_en_li_nea_Cronograma_Unidad_Integracio_n_Curricula.json",,14,0,,
textract_blocks_no_ids,"textract_norm:16260e6e5ab7acb1b6a9801134ed60d48f1fa4efbb8cdfdc5fff09be2587bbf2",1,"doop/OneDrive_3_12-5-2026/Cronogramas posgrados/Cronograma Validación general_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf",883651,882543dbe81055bab12932d31f7aa53a932dadb831acc6eb5e3c27391c0e132d,16260e6e5ab7acb1b6a9801134ed60d48f1fa4efbb8cdfdc5fff09be2587bbf2,"882543db_doop_OneDrive_3_12-5-2026_Cronogramas_posgrados_Cronograma_Validacio_n_general_GR-PS-TEC_D-EL-P_I_ntegro_202630.json",,4,0,,
textract_blocks_no_ids,"textract_norm:1ae6e62523c9aba8a95da956d7bcab8bebbf559cf5a91af7929ddaba6c276635",1,"doop/OneDrive_4_12-5-2026/Cronogramas posgrados/Admisiones_Posgrados_D-El-P__ABR-AGO_2026.pdf",588138,9f0477d1d5ff9dc4fa75d7ea70d0dffb7546f872ddf4fca3875eba07419401f1,1ae6e62523c9aba8a95da956d7bcab8bebbf559cf5a91af7929ddaba6c276635,"9f0477d1_doop_OneDrive_4_12-5-2026_Cronogramas_posgrados_Admisiones_Posgrados_D-El-P_ABR-AGO_2026.json",,2,0,,
textract_blocks_no_ids,"textract_norm:1c72c844a87469451c5056af6475c7bbbe69a84ec9255f13b234de4016ed6c2d",1,"doop/RV_ Publicación de calendarios_ UTE-UIC-UT periodo abril - agosto 2026 2/Calendario Unidad Titulación Especial_GR_P_Docentes_202630.pdf",203909,33cceed3e6731852d20b916c943f985d46e6f8b2d9708208bf1d6d92751a3327,1c72c844a87469451c5056af6475c7bbbe69a84ec9255f13b234de4016ed6c2d,"33cceed3_doop_RV_Publicacio_n_de_calendarios_UTE-UIC-UT_periodo_abril_-_agosto_2026_2_Calendario_Unidad_Titulaci_n_Especial_GR_P_.json",4d9df7290a5ab6fd160e6467ca8e387d1e49e6b9a0831e5e5343e8fcebdd56a9,2,3929,,
textract_blocks_no_ids,"textract_norm:1f8a79aaaa70ef9b6cb85e1b610d357186d3d5b81f16fbcf90b727904d3fccc3",1,"doop/OneDrive_3_12-5-2026/Cronogramas posgrados/Matrículas_PS_P-EL__ABR-AGO_2026.pdf",267441,c49d027ec226a8d6e865a956ccdce8e94809379a2141207e9dd6826100dbf854,1f8a79aaaa70ef9b6cb85e1b610d357186d3d5b81f16fbcf90b727904d3fccc3,"c49d027e_doop_OneDrive_3_12-5-2026_Cronogramas_posgrados_Matri_culas_PS_P-EL_ABR-AGO_2026.json",,2,0,,
textract_blocks_no_ids,"textract_norm:2282c2d2557f45e04f6d4d9b26f5e602e2a282da38dbb9a77f915a6ef72e103c",1,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad presencial/Matrículas_GR_P__ABR-AGO_2026.pdf",329309,6232b5beb0b7e94b367be49a3d9cf149433095b56ba7245358be9cab03b76680,2282c2d2557f45e04f6d4d9b26f5e602e2a282da38dbb9a77f915a6ef72e103c,"6232b5be_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_presencial_Matri_culas_GR_P_ABR-AGO_2026.json",,3,0,,
textract_blocks_no_ids,"textract_norm:278a3411657063f6e56aa214172a274f00618f40959399fbf2e9c93da6d12669",1,"doop/OneDrive_3_12-5-2026/Cronogramas posgrados/Admisiones_Especialización Anestesiología y Imagenología_Posgrados_P__ABR-AGO_2026.pdf",1036537,d529b41e3fb3276e761d92409077ac8373cdb480fb3537fa702773bbe701613b,278a3411657063f6e56aa214172a274f00618f40959399fbf2e9c93da6d12669,"d529b41e_doop_OneDrive_3_12-5-2026_Cronogramas_posgrados_Admisiones_Especializacio_n_Anestesiologi_a_y_Imagenologi_a_Posgrados_P_.json",,4,0,,
textract_blocks_no_ids,"textract_norm:29f8d87869b6b38c6d7969d8b1f210a4c3c44a1f9fa401d6a32e449cb4ca9956",1,"doop/OneDrive_3_12-5-2026/Cronogramas posgrados/Cronograma Unidad Integración Curricular_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf",3198758,eee1c735ea4b9a4725d3a7b45546c4316b424bef1a1c62c2478ab9c4c3212818,29f8d87869b6b38c6d7969d8b1f210a4c3c44a1f9fa401d6a32e449cb4ca9956,"eee1c735_doop_OneDrive_3_12-5-2026_Cronogramas_posgrados_Cronograma_Unidad_Integracio_n_Curricular_GR-PS-TEC_D-EL-P_I_ntegro_2026.json",,14,0,,
